Validation_Set,Topics,Alpha,Beta,Coherence
15% dataset,9,asymmetric,0.01,0.2482109943746832
15% dataset,9,asymmetric,0.31,0.22276733030885476
15% dataset,9,asymmetric,0.61,0.35094537534251535
15% dataset,9,asymmetric,0.9099999999999999,0.26717534404626214
15% dataset,9,asymmetric,symmetric,0.24295721234728618
15% dataset,10,0.01,0.01,0.24571316498237397
15% dataset,10,0.01,0.31,0.27062442831770234
15% dataset,10,0.01,0.61,0.368713997022229
15% dataset,10,0.01,0.9099999999999999,0.28997732606527726
15% dataset,10,0.01,symmetric,0.23514253513976408
15% dataset,10,0.31,0.01,0.24396274040606297
15% dataset,10,0.31,0.31,0.29706393072627296
15% dataset,10,0.31,0.61,0.25136451641405555
15% dataset,10,0.31,0.9099999999999999,0.30290532839079953
15% dataset,10,0.31,symmetric,0.2623463452225371
15% dataset,10,0.61,0.01,0.2572898735001091
15% dataset,10,0.61,0.31,0.2765310548105903
15% dataset,10,0.61,0.61,0.29066164759668484
15% dataset,10,0.61,0.9099999999999999,0.323157964423509
15% dataset,10,0.61,symmetric,0.2809099743360125
15% dataset,10,0.9099999999999999,0.01,0.2451712685849064
15% dataset,10,0.9099999999999999,0.31,0.30647881440955893
15% dataset,10,0.9099999999999999,0.61,0.32113606704757686
15% dataset,10,0.9099999999999999,0.9099999999999999,0.29319064400273726
15% dataset,10,0.9099999999999999,symmetric,0.2585003055081695
15% dataset,10,symmetric,0.01,0.2767887524873694
15% dataset,10,symmetric,0.31,0.308600641811056
15% dataset,10,symmetric,0.61,0.264451730829241
15% dataset,10,symmetric,0.9099999999999999,0.2516009490643848
15% dataset,10,symmetric,symmetric,0.2401459886072732
15% dataset,10,asymmetric,0.01,0.2706373137589026
15% dataset,10,asymmetric,0.31,0.33923966658996346
15% dataset,10,asymmetric,0.61,0.26185644574071765
15% dataset,10,asymmetric,0.9099999999999999,0.3006596732919017
15% dataset,10,asymmetric,symmetric,0.24110652565221463
