Validation_Set,Topics,Alpha,Beta,Coherence
75% dataset,8,asymmetric,0.31,0.2718367238533582
75% dataset,8,asymmetric,0.61,0.30394831878517614
75% dataset,8,asymmetric,0.9099999999999999,0.3259823163433041
75% dataset,8,asymmetric,symmetric,0.23236493768664832
75% dataset,9,0.01,0.01,0.25260505804837696
75% dataset,9,0.01,0.31,0.35622283933020554
75% dataset,9,0.01,0.61,0.30262549008735584
75% dataset,9,0.01,0.9099999999999999,0.2899645376830406
75% dataset,9,0.01,symmetric,0.24310065268521383
75% dataset,9,0.31,0.01,0.24051840929065488
75% dataset,9,0.31,0.31,0.2638089096664207
75% dataset,9,0.31,0.61,0.2898614525215619
75% dataset,9,0.31,0.9099999999999999,0.30298369583614504
75% dataset,9,0.31,symmetric,0.2466914043342462
75% dataset,9,0.61,0.01,0.24723290377666102
75% dataset,9,0.61,0.31,0.2504421801167809
75% dataset,9,0.61,0.61,0.3310193374082257
75% dataset,9,0.61,0.9099999999999999,0.3047787720241692
75% dataset,9,0.61,symmetric,0.24434246000153484
75% dataset,9,0.9099999999999999,0.01,0.23058848362731624
75% dataset,9,0.9099999999999999,0.31,0.3123485905118774
75% dataset,9,0.9099999999999999,0.61,0.3550463502653059
75% dataset,9,0.9099999999999999,0.9099999999999999,0.2969845990694063
75% dataset,9,0.9099999999999999,symmetric,0.2618176318366151
75% dataset,9,symmetric,0.01,0.23449489824994296
75% dataset,9,symmetric,0.31,0.27064544084479353
75% dataset,9,symmetric,0.61,0.2367664051570158
75% dataset,9,symmetric,0.9099999999999999,0.42030240539720004
75% dataset,9,symmetric,symmetric,0.23810009448666392
75% dataset,9,asymmetric,0.01,0.2522638769174769
75% dataset,9,asymmetric,0.31,0.24404755093976999
75% dataset,9,asymmetric,0.61,0.28888942873963636
75% dataset,9,asymmetric,0.9099999999999999,0.24742260532666518
75% dataset,9,asymmetric,symmetric,0.26392540058809605
75% dataset,10,0.01,0.01,0.2423361561174043
75% dataset,10,0.01,0.31,0.24660899519481405
75% dataset,10,0.01,0.61,0.3248836210915173
75% dataset,10,0.01,0.9099999999999999,0.3193200407531486
75% dataset,10,0.01,symmetric,0.24181556180230582
75% dataset,10,0.31,0.01,0.25681489048139616
75% dataset,10,0.31,0.31,0.28152358623061824
75% dataset,10,0.31,0.61,0.3027664356644183
75% dataset,10,0.31,0.9099999999999999,0.35724681621055776
75% dataset,10,0.31,symmetric,0.2508572494494915
75% dataset,10,0.61,0.01,0.23679096928729376
75% dataset,10,0.61,0.31,0.29789746035604153
75% dataset,10,0.61,0.61,0.3402866832925754
75% dataset,10,0.61,0.9099999999999999,0.2716429432890332
75% dataset,10,0.61,symmetric,0.24341998775710416
75% dataset,10,0.9099999999999999,0.01,0.23941810350306442
75% dataset,10,0.9099999999999999,0.31,0.25012379994961614
75% dataset,10,0.9099999999999999,0.61,0.31466003115102703
75% dataset,10,0.9099999999999999,0.9099999999999999,0.29951976326821217
75% dataset,10,0.9099999999999999,symmetric,0.2562084570524956
75% dataset,10,symmetric,0.01,0.2484792675651108
75% dataset,10,symmetric,0.31,0.31231514408542266
75% dataset,10,symmetric,0.61,0.2686759449383057
75% dataset,10,symmetric,0.9099999999999999,0.32813309125567575
75% dataset,10,symmetric,symmetric,0.24734018507740596
75% dataset,10,asymmetric,0.01,0.24051567849153582
75% dataset,10,asymmetric,0.31,0.3024348450837192
75% dataset,10,asymmetric,0.61,0.3444320615209036
75% dataset,10,asymmetric,0.9099999999999999,0.3274653261233386
75% dataset,10,asymmetric,symmetric,0.2634315138649058
15% dataset,2,0.01,0.01,0.24296325780439973
15% dataset,2,0.01,0.31,0.2453528871096684
15% dataset,2,0.01,0.61,0.25704434565510126
15% dataset,2,0.01,0.9099999999999999,0.31588844127264204
15% dataset,2,0.01,symmetric,0.2471419637630424
15% dataset,2,0.31,0.01,0.2473628179385225
15% dataset,2,0.31,0.31,0.24714196376304243
15% dataset,2,0.31,0.61,0.24280102082687205
15% dataset,2,0.31,0.9099999999999999,0.24824768723463064
15% dataset,2,0.31,symmetric,0.24675165787018027
15% dataset,2,0.61,0.01,0.24552440241052714
15% dataset,2,0.61,0.31,0.24014488582450108
15% dataset,2,0.61,0.61,0.24683931074199417
15% dataset,2,0.61,0.9099999999999999,0.24191608548996058
15% dataset,2,0.61,symmetric,0.2440190230023176
15% dataset,2,0.9099999999999999,0.01,0.24849318123420228
15% dataset,2,0.9099999999999999,0.31,0.23642191401077195
15% dataset,2,0.9099999999999999,0.61,0.24178969384097904
15% dataset,2,0.9099999999999999,0.9099999999999999,0.24401902300231765
15% dataset,2,0.9099999999999999,symmetric,0.24714196376304243
15% dataset,2,symmetric,0.01,0.24322682728889777
15% dataset,2,symmetric,0.31,0.24985474081549996
15% dataset,2,symmetric,0.61,0.248121416908684
15% dataset,2,symmetric,0.9099999999999999,0.2419160854899606
15% dataset,2,symmetric,symmetric,0.24574034406260126
15% dataset,2,asymmetric,0.01,0.2428010208268721
15% dataset,2,asymmetric,0.31,0.24981452545737518
15% dataset,2,asymmetric,0.61,0.2431450879702402
15% dataset,2,asymmetric,0.9099999999999999,0.24796966004562582
15% dataset,2,asymmetric,symmetric,0.2467516578701803
15% dataset,3,0.01,0.01,0.2521683727578421
15% dataset,3,0.01,0.31,0.24029228193711583
15% dataset,3,0.01,0.61,0.2521649805856154
15% dataset,3,0.01,0.9099999999999999,0.291260286017143
15% dataset,3,0.01,symmetric,0.24485076151721266
15% dataset,3,0.31,0.01,0.24574544329880868
15% dataset,3,0.31,0.31,0.24395306653266888
15% dataset,3,0.31,0.61,0.3097666973066446
15% dataset,3,0.31,0.9099999999999999,0.26000683927247087
15% dataset,3,0.31,symmetric,0.24237431773801088
15% dataset,3,0.61,0.01,0.2411724074442525
15% dataset,3,0.61,0.31,0.2509654814694299
15% dataset,3,0.61,0.61,0.2586702586319159
15% dataset,3,0.61,0.9099999999999999,0.3537862415565948
15% dataset,3,0.61,symmetric,0.2440343401990026
15% dataset,3,0.9099999999999999,0.01,0.24500140058617828
15% dataset,3,0.9099999999999999,0.31,0.24722426201828465
15% dataset,3,0.9099999999999999,0.61,0.24839623077320686
15% dataset,3,0.9099999999999999,0.9099999999999999,0.3130491336997512
15% dataset,3,0.9099999999999999,symmetric,0.2399429316727634
15% dataset,3,symmetric,0.01,0.2444591148008388
15% dataset,3,symmetric,0.31,0.25335118706885545
15% dataset,3,symmetric,0.61,0.24864304668049753
15% dataset,3,symmetric,0.9099999999999999,0.2933550865820702
15% dataset,3,symmetric,symmetric,0.23736692280998603
15% dataset,3,asymmetric,0.01,0.25118487947707296
15% dataset,3,asymmetric,0.31,0.24110171121216242
15% dataset,3,asymmetric,0.61,0.2905312122097636
15% dataset,3,asymmetric,0.9099999999999999,0.2518627703527027
15% dataset,3,asymmetric,symmetric,0.2463527600811489
15% dataset,4,0.01,0.01,0.25131241960007794
15% dataset,4,0.01,0.31,0.31622019483244085
15% dataset,4,0.01,0.61,0.2558582336019411
15% dataset,4,0.01,0.9099999999999999,0.23197000381347704
15% dataset,4,0.01,symmetric,0.23687439095416893
