Fic number,Character name,Times mentioned
0,Can,1
0,though.,1
0,Gabe.,1
0,Wha,1
Fic number,Character name,Times mentioned
0,Beelzebub,11
0,Dagon,3
0,‘Oh,1
0,Crowley’,15
0,Hell,3
0,Lucifer,3
0,Downstairs,1
0,Gabe’,1
0,Couldn’,1
0,Gabriel,12
0,Dunno,1
0,Angel,2
0,Alright,1
0,Just,2
0,Okay,1
0,Don’,5
0,Crowley,41
0,CandyCrush,1
0,Aziraphale,42
0,Quite,1
0,Tennyson–,1
0,Mind,1
0,Darling,4
0,Tennysons.’‘,1
0,Tennyson.’‘,2
0,Earth.’Beelzebub,1
0,Asmodeous,1
0,Surprizzzeme.,1
0,Yeah,2
0,‘Well,7
0,’Beelzebub,2
0,Jury,1
0,Asmodeus,1
0,Baal,1
0,Marax,1
0,Astaroth,1
0,Murmur,1
0,Fuck’,1
0,StEmillion,1
0,Oh,8
0,Bookshop,1
0,Maybe,1
0,’Crowley,9
0,Airaphale,1
0,Well,1
0,’Aziraphale,7
0,OhGod,1
0,Crowley.’‘Oooo,1
0,Byron,1
0,Tenny–,1
0,ScrewTennyson.’‘Sorry,1
0,Shouldn’,1
0,Michael,2
0,Heaven,1
0,Shut,1
0,Bee.’,2
0,Um,2
0,Aziraphale’,5
0,_It,1
0,Crowley.’__‘,1
0,Come,1
0,God,3
0,Mhm,1
0,Remember,1
0,Mmm.’‘Let’,1
0,Shepard’,1
0,Pie.’‘,1
0,Gluttony,1
0,Ian,1
0,‘Nah,1
0,Shush.’__He,1
0,Hmm.’__She,1
0,‘So,1
0,Ah,1
0,Bee,1
0,Gabe.’,1
0,No,1
0,Pub.’‘See,1
0,Spread.’‘,1
0,Drink,2
0,Five.’,1
0,Cheers.,1
0,Ain’,1
0,Hmm.’,1
0,GabrielFalls,1
0,Must,1
0,Devil’,1
0,Dyke,1
0,Penny,1
0,Nostalgic,1
0,GodHerself,2
0,spots.’Crowley,1
0,angel.’‘No,1
0,Tennyson.,1
0,Crowley.’Crowley,1
0,Perfection.’Crowley,1
0,NeitherHeaven,1
0,Hell.’***,1
0,Before.’‘_Oh_.’***_He,1
0,Hell.’‘Yesdarling.’‘,1
0,Isn’,2
0,Mine’,1
0,__It,1
0,’,1
0,Lord,1
0,Lord”,2
0,Lord”–,1
0,Was,1
0,Gabe.’__‘,1
0,though.’__‘Hm,1
0,Peliel,1
0,Virtues,1
0,Archangel.’_***,1
0,Hi,1
0,‘Yeah,2
0,Horrible,1
0,Before.’,1
0,‘Yes,1
0,anyway.’Crowley,1
0,Mmm,1
0,though.’‘,1
0,Oscar,1
0,Hello,1
0,dear.’‘Fabulous,1
0,Yes,1
0,everything.’‘No,1
0,EarlGray,1
0,MadameTracy,1
0,Name’,1
0,‘Gertie,1
0,Reggie,1
0,Let’,1
0,Upstairs,1
0,Gertrude,1
0,Sold.’‘Shouldn’,1
0,Patrick,1
0,Myeah,1
0,Pub,1
0,Pub.’‘So,1
0,Up.’,1
0,Thanks.’‘,1
0,Michael.’Beelzebub,1
0,"Michaeltoday.‘WhatcanIsay,she’sabitch.’Gabrielsmirked,despitehimself._Shewasabit,wasn’tshe?_Andthenquicklyrealisedwhathewasdoingandclearedhisthroattryingtoturnhisexpressionintoonewithatleastabitofsemblanceofpropriety.Butitwastoolate,",1
0,hadalreadyspottedthat.‘GoodtoseeevenamightyArchangelthinksthesame.That’sawfullynastyofyou.I_like_it!’Heclearedhisthroatsomemore._Shelikedit?_Thisconversationwasdoingweirdthingstohisnetherregions.Heshiftedslightlyinhisseat.ShepouredherselfanotherglassofBourbonandliftedherelbowtodrapeonthebackofherseatbaringmorechestthannecessary.,1
0,"wasopenlystaring.Itwasnouseeventryingtoconvincehimselfthiswasanythingelse.Heimaginedhishandsbeingabletotouchthatporcelainskin,toroamallover,fingersdiggingintohips,hotbreathonhisthroat,teethsinkingintohisshoulderand_oh,thatdidanumberofthingstohim_.Shemustbeawareoftheeffectshehadonhim._Mustbedoingitonpurpose_.Tryingtotemptanangellikethat.",1
0,"was,shewasquitesuccessfulinhertempting.Ontheothersideofthetable",1
0,"wasdoingsomementalmathematicsabouthowlongershe’dhavetokeepthisshituptogettheangeltounravelcompletely.It’snotthatshedidn’tenjoyedit,_ohsheenjoyeditplenty_butshedidmissthecomfortofherusualclothes.Orthatblessedhoodie.Thesuitwasn’tthemostcomfortablethingandshecouldn’twaittogetridofit.Shecouldfeelhiseyesonherandatleastthatfeltnice.Threehoursagowhenthosewretcheddemonshadtriedjumpingherithadn’tfeltniceatall.***",1
